Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
21,Travel_Frequently,478,Research & Development,2,4,1,Female,4,Manufacturing Director,2,Married,19012,0,Yes,21,4,2,2,2,3,1,15,8,5,6,Yes
50,Non-Travel,908,Research & Development,19,1,1,Male,1,Laboratory Technician,1,Married,5426,0,No,20,3,3,0,23,3,3,9,8,12,1,No
45,Travel_Rarely,1448,Human Resources,18,2,1,Male,1,Healthcare Representative,4,Divorced,12713,4,No,13,4,3,1,28,1,3,13,14,14,9,No
36,Non-Travel,1095,Human Resources,25,1,2,Male,5,Manager,1,Single,5199,2,No,22,4,1,2,27,3,2,32,4,3,13,No
36,Travel_Frequently,535,Human Resources,17,2,1,Female,1,Sales Representative,1,Divorced,18112,6,No,16,4,2,0,14,5,3,10,1,3,8,No
54,Travel_Frequently,1048,Human Resources,20,2,1,Female,3,Manager,3,Single,15326,8,No,20,3,3,0,3,2,1,25,3,11,0,No
21,Travel_Rarely,1453,Research & Development,11,4,2,Female,5,Manufacturing Director,4,Divorced,14793,1,Yes,11,3,2,2,26,1,3,26,10,6,3,No
47,Travel_Frequently,438,Human Resources,11,4,3,Female,3,Manager,1,Single,7320,3,Yes,19,4,4,2,22,3,2,30,0,0,14,Yes
26,Travel_Rarely,425,Research & Development,12,4,1,Male,1,Sales Representative,4,Divorced,13272,1,Yes,14,4,1,2,10,0,3,25,9,5,8,No
21,Non-Travel,154,Human Resources,28,2,3,Male,2,Sales Representative,1,Divorced,15200,2,No,21,4,1,1,12,5,2,15,3,3,14,Yes
40,Non-Travel,1279,Sales,14,3,3,Female,1,Manager,4,Single,13270,9,Yes,12,4,2,0,38,5,3,11,11,6,11,No
58,Travel_Frequently,1265,Sales,25,4,1,Male,1,Manufacturing Director,2,Married,11998,5,No,17,4,1,1,25,5,1,8,15,11,16,Yes
48,Non-Travel,679,Sales,9,3,1,Female,2,Research Scientist,2,Married,11385,0,Yes,19,4,1,1,37,0,3,31,9,11,3,Yes
49,Non-Travel,1321,Sales,20,4,4,Female,2,Sales Representative,4,Divorced,10881,9,Yes,12,3,2,2,15,0,2,24,5,10,6,Yes
48,Travel_Rarely,1012,Human Resources,8,4,2,Female,4,Manufacturing Director,2,Divorced,12223,7,No,15,3,1,1,38,0,1,0,16,10,5,Yes
51,Travel_Rarely,1470,Human Resources,12,1,4,Female,5,Laboratory Technician,2,Divorced,18226,9,No,16,3,3,1,25,5,2,16,13,13,9,Yes
39,Travel_Rarely,1391,Sales,25,1,3,Male,3,Sales Representative,2,Single,5911,4,Yes,22,4,4,0,33,0,3,24,4,2,7,Yes
23,Travel_Rarely,1443,Research & Development,20,3,1,Female,3,Healthcare Representative,2,Divorced,12192,5,Yes,14,4,2,1,5,0,1,10,10,8,0,Yes
53,Travel_Frequently,649,Human Resources,14,1,3,Female,5,Research Scientist,2,Divorced,16634,0,Yes,19,4,2,2,19,5,1,10,14,8,7,Yes
36,Travel_Frequently,987,Human Resources,12,1,2,Female,2,Sales Representative,3,Single,5877,1,No,11,4,4,1,16,4,1,22,13,3,11,No
39,Travel_Frequently,334,Research & Development,23,1,2,Male,3,Research Scientist,3,Single,3479,3,No,16,4,3,1,32,2,3,2,12,12,13,No
33,Travel_Rarely,1351,Research & Development,5,1,1,Male,3,Sales Executive,2,Divorced,19696,1,No,21,3,4,2,17,2,2,10,5,13,15,No
25,Non-Travel,545,Sales,24,3,2,Female,5,Laboratory Technician,2,Married,15958,0,Yes,14,3,3,0,8,1,2,31,13,3,4,Yes
56,Non-Travel,727,Human Resources,18,2,4,Male,2,Manager,4,Divorced,7239,3,Yes,18,4,3,2,12,4,1,7,16,4,2,No
50,Travel_Frequently,932,Sales,10,4,1,Female,3,Sales Executive,4,Divorced,2669,6,Yes,11,4,3,2,16,5,2,8,1,8,8,Yes
45,Travel_Rarely,1202,Human Resources,20,1,3,Male,2,Manufacturing Director,4,Married,10266,8,Yes,18,4,3,2,23,4,2,18,5,0,7,No
34,Travel_Frequently,1124,Human Resources,28,2,1,Female,2,Manager,2,Divorced,14573,2,No,10,3,2,1,3,0,1,9,2,14,7,No
52,Non-Travel,1437,Sales,10,3,3,Female,4,Manufacturing Director,2,Divorced,8467,7,Yes,16,4,1,2,36,4,1,16,5,2,5,Yes
40,Non-Travel,1098,Research & Development,12,2,4,Male,5,Manager,3,Single,14909,0,Yes,22,3,1,2,20,3,2,0,3,10,0,Yes
36,Travel_Rarely,1214,Human Resources,27,3,4,Female,1,Manager,1,Divorced,15175,9,Yes,19,3,1,2,16,4,3,27,13,9,0,Yes
36,Non-Travel,901,Research & Development,10,4,4,Female,5,Research Scientist,4,Married,6764,4,Yes,14,3,1,2,22,3,1,28,13,8,13,Yes
27,Non-Travel,682,Sales,24,3,3,Male,3,Healthcare Representative,1,Divorced,10090,5,Yes,19,3,4,1,32,5,1,17,4,1,0,Yes
21,Travel_Frequently,1378,Sales,26,3,3,Male,5,Manufacturing Director,1,Married,16019,1,No,23,4,4,0,2,5,2,2,15,12,2,No
41,Travel_Frequently,628,Research & Development,17,3,4,Female,4,Research Scientist,4,Married,7976,5,No,14,3,3,1,27,2,2,16,13,1,1,No
55,Travel_Frequently,968,Sales,3,4,1,Male,1,Sales Executive,2,Married,8171,7,Yes,12,4,1,1,25,0,1,17,4,13,7,Yes
20,Travel_Rarely,508,Human Resources,2,4,1,Female,1,Sales Representative,2,Married,13475,3,Yes,11,3,1,2,29,3,1,25,11,0,6,Yes
54,Travel_Frequently,775,Human Resources,8,1,1,Female,5,Manager,4,Married,8835,0,Yes,10,4,4,0,2,1,3,29,7,14,14,No
52,Travel_Rarely,613,Sales,1,4,1,Female,4,Healthcare Representative,1,Single,10607,5,Yes,16,3,3,2,11,5,2,32,12,10,11,Yes
29,Travel_Rarely,461,Sales,22,1,1,Male,5,Manager,1,Divorced,12422,8,No,22,4,3,2,32,1,3,11,14,2,5,No
44,Travel_Frequently,1248,Sales,18,4,2,Female,1,Laboratory Technician,3,Divorced,1824,7,Yes,20,3,2,2,4,4,3,12,9,3,7,No
24,Travel_Frequently,1174,Research & Development,13,2,3,Male,1,Laboratory Technician,1,Single,14266,5,No,24,3,3,2,38,2,2,27,14,12,1,Yes
49,Non-Travel,1082,Human Resources,23,3,4,Female,5,Sales Executive,3,Divorced,13430,0,Yes,19,3,4,1,34,4,1,2,10,5,1,No
47,Travel_Frequently,216,Sales,4,3,3,Female,5,Manager,1,Married,16247,2,No,20,4,2,2,16,5,2,2,0,5,13,No
32,Non-Travel,449,Human Resources,15,2,1,Female,2,Healthcare Representative,2,Single,4443,8,Yes,20,4,2,2,25,5,2,19,9,0,12,Yes
20,Non-Travel,405,Human Resources,10,4,1,Male,5,Sales Executive,2,Single,1950,8,Yes,14,4,3,2,20,3,2,29,5,14,11,Yes
58,Travel_Frequently,1096,Sales,1,3,2,Female,1,Sales Executive,1,Married,19270,6,No,17,4,3,2,32,5,2,25,8,13,16,No
36,Non-Travel,1349,Sales,14,2,3,Male,2,Research Scientist,4,Divorced,2377,9,Yes,17,3,2,2,6,5,2,12,3,10,4,Yes
55,Travel_Frequently,631,Human Resources,5,2,4,Female,1,Manager,3,Divorced,15269,3,Yes,15,4,3,1,19,4,2,5,1,1,12,Yes
46,Travel_Frequently,562,Research & Development,2,2,2,Female,3,Manager,2,Married,15025,8,No,22,3,4,0,19,2,1,24,15,12,6,No
50,Travel_Rarely,880,Research & Development,6,1,1,Male,3,Manufacturing Director,3,Single,8411,3,Yes,11,3,3,2,21,4,2,15,1,10,14,No
49,Travel_Rarely,1482,Sales,6,4,1,Female,4,Healthcare Representative,2,Single,8144,0,Yes,12,4,3,1,0,2,2,14,2,10,11,Yes
26,Travel_Frequently,618,Research & Development,18,4,3,Female,2,Sales Representative,2,Married,2613,9,No,22,3,4,1,31,5,2,3,0,0,6,Yes
33,Travel_Rarely,489,Research & Development,23,4,4,Male,3,Sales Representative,1,Single,16656,5,Yes,10,3,4,2,36,5,2,24,11,4,14,Yes
37,Travel_Frequently,830,Human Resources,14,4,1,Female,3,Laboratory Technician,4,Married,7562,2,No,11,4,2,1,3,0,3,2,7,7,14,No
38,Travel_Rarely,1382,Research & Development,18,3,1,Male,2,Manager,4,Married,19072,5,Yes,18,3,2,0,17,2,1,34,12,9,16,Yes
19,Travel_Rarely,1121,Research & Development,3,4,1,Female,5,Healthcare Representative,2,Single,13551,5,No,14,3,4,2,34,3,3,14,16,3,13,No
40,Travel_Frequently,825,Sales,23,4,3,Male,5,Research Scientist,3,Divorced,1913,8,Yes,21,4,3,1,5,5,3,16,13,5,2,No
24,Travel_Frequently,1123,Human Resources,15,1,2,Male,1,Sales Representative,3,Single,18124,3,Yes,11,4,4,0,38,2,1,25,13,2,5,No
49,Non-Travel,121,Human Resources,12,2,4,Female,2,Sales Executive,1,Married,18208,8,No,22,3,3,2,34,4,1,27,10,12,12,No
46,Non-Travel,1154,Human Resources,25,1,4,Male,2,Manager,3,Single,15331,5,No,18,3,4,0,35,0,1,7,0,13,8,No
56,Non-Travel,236,Human Resources,9,3,3,Male,2,Healthcare Representative,3,Divorced,18506,8,No,11,3,4,0,31,2,1,2,7,9,4,No
49,Travel_Rarely,647,Human Resources,13,1,1,Male,1,Sales Executive,3,Married,15747,4,Yes,24,4,1,1,33,2,1,15,1,6,10,Yes
33,Travel_Frequently,589,Human Resources,26,4,3,Female,2,Sales Representative,1,Single,12631,0,Yes,10,3,2,2,4,4,2,15,14,8,15,Yes
58,Travel_Rarely,1066,Human Resources,5,4,2,Female,4,Sales Executive,4,Married,3911,4,Yes,13,4,2,0,17,3,1,24,8,1,12,Yes
35,Travel_Rarely,436,Research & Development,15,2,4,Female,2,Research Scientist,3,Divorced,9929,3,Yes,11,4,1,2,7,1,2,10,9,2,14,No
31,Travel_Rarely,434,Sales,17,3,3,Male,4,Laboratory Technician,1,Divorced,5743,0,No,17,3,3,2,2,0,1,30,2,4,16,No
56,Travel_Frequently,1337,Sales,20,4,4,Female,1,Manufacturing Director,3,Single,8406,5,Yes,19,3,4,0,5,5,1,13,10,12,11,No
33,Travel_Rarely,768,Human Resources,27,4,2,Male,5,Laboratory Technician,4,Divorced,16123,0,No,23,3,2,2,27,0,2,26,9,8,10,No
21,Travel_Frequently,1138,Human Resources,10,2,2,Female,3,Manager,1,Married,17208,5,No,11,3,2,2,8,0,3,5,8,11,15,No
37,Travel_Rarely,916,Research & Development,4,4,2,Female,4,Laboratory Technician,1,Divorced,8462,8,Yes,19,3,3,2,29,3,2,8,0,9,1,Yes
51,Travel_Frequently,967,Human Resources,12,1,4,Female,3,Laboratory Technician,4,Married,5075,6,No,20,4,1,1,7,1,2,0,15,13,10,No
25,Travel_Frequently,1061,Sales,5,1,3,Female,4,Manager,1,Married,17380,8,Yes,11,4,4,1,24,0,3,27,13,11,11,Yes
37,Travel_Rarely,1034,Research & Development,21,2,2,Female,3,Laboratory Technician,2,Married,13676,9,Yes,11,4,2,1,12,4,3,28,3,8,14,Yes
23,Travel_Rarely,1376,Research & Development,16,2,4,Female,1,Manager,4,Divorced,2247,9,Yes,23,3,3,0,23,2,2,8,12,0,2,No
46,Non-Travel,1198,Sales,22,3,2,Female,2,Laboratory Technician,4,Divorced,9467,8,No,19,3,4,0,20,3,2,2,16,6,6,No
37,Non-Travel,526,Human Resources,10,4,4,Male,5,Research Scientist,2,Divorced,12914,6,No,15,3,4,2,25,1,3,17,17,0,16,No
31,Travel_Rarely,337,Research & Development,27,1,3,Male,2,Laboratory Technician,3,Divorced,3772,6,No,22,4,1,0,17,1,3,28,17,0,1,No
27,Non-Travel,1283,Sales,26,2,1,Female,1,Manager,4,Married,10914,3,No,24,3,3,1,4,0,3,24,7,0,16,No
41,Travel_Rarely,621,Human Resources,26,4,2,Male,3,Manager,2,Married,10934,8,No,17,4,3,1,28,5,1,20,5,5,13,Yes
46,Non-Travel,535,Research & Development,20,3,3,Male,4,Manufacturing Director,4,Single,16389,8,No,12,4,1,2,24,0,1,17,0,0,14,No
57,Travel_Rarely,255,Research & Development,6,2,4,Male,5,Laboratory Technician,4,Single,8856,5,Yes,16,3,3,1,26,3,2,3,2,9,11,No
36,Travel_Frequently,872,Research & Development,5,2,3,Male,5,Manager,3,Single,4636,9,Yes,23,3,3,1,39,0,3,5,12,3,1,No
